Feature,Odds Ratio,Coefficient
InternetService_Fiber optic,4.2609273271805295,1.4494868190286392
MultipleLines_Yes,1.9536884390335796,0.6697190931252411
StreamingMovies_Yes,1.6473658816622907,0.4991775768955245
AgeGroup_Senior (â‰¥ 60),1.560748681700781,0.44516563030184314
PaperlessBilling_Yes,1.507911733810552,0.41072573591683526
StreamingTV_Yes,1.4821001826598685,0.3934601242246816
DeviceProtection_Yes,1.4071911942231634,0.3415956567632775
PaymentMethod_Electronic check,1.145547875442145,0.135883016400467
AgeGroup_Under 30,1.0412563730263735,0.04042803503372487
MultipleLines_No phone service,1.0,0.0
CLTV,0.9622548184451584,-0.038475979353387514
OnlineBackup_Yes,0.9351655664728749,-0.06703168892805517
OnlineSecurity_No internet service,0.8388888171525634,-0.1756770995887903
StreamingTV_No internet service,0.8388888171525634,-0.1756770995887903
InternetService_No,0.8388888171525634,-0.1756770995887903
StreamingMovies_No internet service,0.8388888171525634,-0.1756770995887903
TechSupport_No internet service,0.8388888171525634,-0.1756770995887903
DeviceProtection_No internet service,0.8388888171525634,-0.1756770995887903
OnlineBackup_No internet service,0.8388888171525634,-0.1756770995887903
Contract_One year,0.7737784539783953,-0.25646968153554695
PaymentMethod_Mailed check,0.7663738960398505,-0.2660851133963584
Contract_Two year,0.7251800300291436,-0.3213353376715183
Partner_Yes,0.6651638607097017,-0.4077218615972637
PaymentMethod_Credit card (automatic),0.6589914482827239,-0.41704472137304943
TechSupport_Yes,0.6183636879547442,-0.4806785027817052
MonthlyCharges,0.25302966324487414,-1.3742485511002245
tenure,0.18635252622847145,-1.6801150967845413
OnlineSecurity_Yes,0.05170289075515296,-2.962241585004715
Satisfaction Score,1.528309311246359e-05,-11.088763365885699
